Date,Animal,Experiment,Condition,Treatment,Animal_No,SR_tau_mean,SR_DFF0_mean,SR_Baseline_mean
2019-01-20,CPVT-HET,P1 CS2,Control,cAMP,5881,NA,NA,0.243
2019-01-20,CPVT-HET,P1 CS2,cAMP,cAMP,5881,NA,NA,0.427
2019-01-20,CPVT-HET,P2 CS1,Control,cAMP,5881,NA,NA,0.3946
2019-01-20,CPVT-HET,P2 CS1,cAMP,cAMP,5881,NA,NA,0.4661
2019-01-20,CPVT-HET,P2 CS2,Control,Vehicle,5881,NA,NA,0.5643
2019-01-20,CPVT-HET,P2 CS2,Vehicle,Vehicle,5881,NA,NA,0.5117
2019-01-20,CPVT-HET,P4 CS1,Control,cAMP,5881,NA,NA,0.1708
2019-01-20,CPVT-HET,P4 CS1,cAMP,cAMP,5881,NA,NA,0.2225
2019-01-20,CPVT-HET,P4 CS2,Control,cAMP,5881,NA,NA,0.4509
2019-01-20,CPVT-HET,P4 CS2,cAMP,cAMP,5881,NA,NA,0.7633
2019-01-20,CPVT-HET,P5 CS1,Control,Vehicle,5881,NA,NA,0.4972
2019-01-20,CPVT-HET,P5 CS1,Vehicle,Vehicle,5881,NA,NA,0.514
2019-01-21,CPVT-WT,P1 CS1,Control,cAMP,5884,NA,NA,0.328
2019-01-21,CPVT-WT,P1 CS1,cAMP,cAMP,5884,NA,NA,0.3692
2019-01-21,CPVT-WT,P1 CS2,Control,Vehicle,5884,NA,NA,0.2572
2019-01-21,CPVT-WT,P1 CS2,Vehicle,Vehicle,5884,NA,NA,0.2308
2019-01-21,CPVT-WT,P2 CS1,Control,cAMP,5884,NA,NA,0.2058
2019-01-21,CPVT-WT,P2 CS1,cAMP,cAMP,5884,NA,NA,0.6864
2019-01-21,CPVT-WT,P3 CS1,Control,cAMP,5884,NA,NA,0.4352
2019-01-21,CPVT-WT,P3 CS1,cAMP,cAMP,5884,NA,NA,0.5394
2019-01-21,CPVT-WT,P3 CS2,Control,cAMP,5884,NA,NA,0.2031
2019-01-21,CPVT-WT,P3 CS2,cAMP,cAMP,5884,NA,NA,0.4614
